,時点,死亡数,集計年,説明変数,予測値,実測値からの差
116,1987年9月,56651,1987,1987.75,64874.60389060108,-8223.60389060108
117,1987年10月,62149,1987,1987.8333333333333,65004.510465939995,-2855.510465939995
118,1987年11月,63456,1987,1987.9166666666667,65134.417041279376,-1678.4170412793756
119,1987年12月,70380,1987,1988.0,65264.323616617825,5115.676383382175
120,1988年1月,71188,1988,1988.0833333333333,65394.23019195674,5793.76980804326
121,1988年2月,68902,1988,1988.1666666666667,65524.136767295655,3377.863232704345
122,1988年3月,74184,1988,1988.25,65654.04334263457,8529.95665736543
123,1988年4月,66642,1988,1988.3333333333333,65783.94991797348,858.0500820265152
124,1988年5月,64633,1988,1988.4166666666667,65913.8564933124,-1280.8564933123998
125,1988年6月,59699,1988,1988.5,66043.76306865131,-6344.763068651315
126,1988年7月,60079,1988,1988.5833333333333,66173.66964399023,-6094.66964399023
127,1988年8月,61928,1988,1988.6666666666667,66303.57621932914,-4375.576219329145
128,1988年9月,58089,1988,1988.75,66433.48279466806,-8344.48279466806
129,1988年10月,65424,1988,1988.8333333333333,66563.38937000651,-1139.3893700065091
130,1988年11月,69151,1988,1988.9166666666667,66693.29594534589,2457.70405465411
131,1988年12月,73095,1988,1989.0,66823.2025206848,6271.797479315195
132,1989年1月,76261,1989,1989.0833333333333,66953.10909602325,9307.890903976746
133,1989年2月,64290,1989,1989.1666666666667,67083.01567136263,-2793.0156713626347
134,1989年3月,69575,1989,1989.25,67212.92224670108,2362.077753298916
135,1989年4月,64320,1989,1989.3333333333333,67342.82882204,-3022.828822039999
136,1989年5月,64802,1989,1989.4166666666667,67472.73539737938,-2670.7353973793797
137,1989年6月,60716,1989,1989.5,67602.64197271783,-6886.641972717829
138,1989年7月,61660,1989,1989.5833333333333,67732.54854805674,-6072.548548056744
139,1989年8月,60863,1989,1989.6666666666667,67862.45512339566,-6999.455123395659
140,1989年9月,59395,1989,1989.75,67992.36169873457,-8597.361698734574
141,1989年10月,66813,1989,1989.8333333333333,68122.26827407349,-1309.268274073489
142,1989年11月,65595,1989,1989.9166666666667,68252.1748494124,-2657.174849412404
143,1989年12月,74304,1989,1990.0,68382.08142475132,5921.918575248681
144,1990年1月,86321,1990,1990.0833333333333,68511.98800009023,17809.011999909766
145,1990年2月,72327,1990,1990.1666666666667,68641.89457542915,3685.105424570851
146,1990年3月,72963,1990,1990.25,68771.80115076806,4191.198849231936
147,1990年4月,66321,1990,1990.3333333333333,68901.70772610651,-2580.7077261065133
148,1990年5月,65776,1990,1990.4166666666667,69031.6143014459,-3255.614301445894
149,1990年6月,61009,1990,1990.5,69161.52087678481,-8152.520876784809
150,1990年7月,63735,1990,1990.5833333333333,69291.42745212326,-5556.427452123258
151,1990年8月,64117,1990,1990.6666666666667,69421.33402746264,-5304.334027462639
152,1990年9月,60061,1990,1990.75,69551.24060280109,-9490.240602801088
153,1990年10月,66399,1990,1990.8333333333333,69681.14717814,-3282.1471781400032
154,1990年11月,68203,1990,1990.9166666666667,69811.05375347938,-1608.0537534793839
155,1990年12月,73073,1990,1991.0,69940.96032881783,3132.039671182167
156,1991年1月,79568,1991,1991.0833333333333,70070.86690415675,9497.133095843252
157,1991年2月,71133,1991,1991.1666666666667,70200.77347949566,932.2265205043368
158,1991年3月,76077,1991,1991.25,70330.68005483458,5746.319945165422
159,1991年4月,69379,1991,1991.3333333333333,70460.5866301735,-1081.5866301734932
160,1991年5月,69460,1991,1991.4166666666667,70590.49320551241,-1130.4932055124082
161,1991年6月,62706,1991,1991.5,70720.39978085132,-8014.399780851323
162,1991年7月,64337,1991,1991.5833333333333,70850.30635619024,-6513.306356190238
163,1991年8月,63451,1991,1991.6666666666667,70980.21293152915,-7529.212931529153
164,1991年9月,60903,1991,1991.75,71110.11950686807,-10207.119506868068
165,1991年10月,67236,1991,1991.8333333333333,71240.02608220652,-4004.0260822065175
166,1991年11月,71485,1991,1991.9166666666667,71369.9326575459,115.06734245410189
167,1991年12月,74062,1991,1992.0,71499.83923288481,2562.160767115187
168,1992年1月,80133,1992,1992.0833333333333,71629.74580822326,8503.254191776738
169,1992年2月,76508,1992,1992.1666666666667,71759.65238356264,4748.347616437357
